segment_length,smooth_window,mean_bitrate,sd_bitrate,mean_stall,sd_stall
2.0,1,1060.4666666666667,72.9528236473029,0.0,0.0
2.0,3,1078.4444444444443,78.32718413192613,21.319166666666668,5.265776559803671
2.0,5,1057.5883333333334,67.75432387293992,30.2695,9.21380162147337
2.0,7,1057.9048412698412,79.58425770687853,33.29098809523809,9.977763330328003
4.0,1,1080.7666666666667,85.29983428116999,0.0,0.0
4.0,3,1067.638888888889,78.36587725722242,42.43,10.476556587682072
4.0,5,1060.3916666666667,72.73477339754464,63.09433333333333,15.184708664199341
4.0,7,1059.7174603174603,75.46002696912637,64.77209523809523,17.49391371973579
6.0,1,1075.8333333333333,82.82386351846732,0.0,0.0
6.0,3,1058.8722222222223,72.25344464539444,64.135,13.853873943136744
6.0,5,1049.4044444444444,78.34749857197323,88.36275,23.050296207205214
6.0,7,1061.2379365079364,73.72421236984594,99.6005357142857,28.666023440845446
